recipe_id,recipe_name,region_or_origin,category,ingredients,normalized_ingredients,instructions,prep_time_minutes,cook_time_minutes,servings,calories_estimate,difficulty,tags,image_url
R001,Chicken Adobo,Luzon,Main Dish,chicken thighs; soy sauce; vinegar; garlic; bay leaves; black pepper; water; cooking oil,chicken thighs; soy sauce; vinegar; garlic; bay leaves; black pepper; water; cooking oil,Marinate chicken with soy sauce garlic and pepper. Sear chicken in oil. Add vinegar bay leaves and water then simmer until tender. Reduce sauce and serve with rice.,15,45,4,420,Easy,savory; braised; rice meal,https://panlasangpinoy.com/wp-content/uploads/2026/05/Panlasang-Pinoy-Chicken-Adobo.jpg
R003,Adobong Puti,Luzon,Main Dish,chicken; vinegar; garlic; salt; black pepper; bay leaves; water; cooking oil,chicken; vinegar; garlic; salt; black pepper; bay leaves; water; cooking oil,Sear chicken with garlic. Add vinegar bay leaves salt pepper and water. Simmer uncovered until vinegar mellows and chicken is tender. Reduce sauce before serving.,10,45,4,380,Easy,vinegar-based; no soy sauce,https://images.yummy.ph/yummy/uploads/2022/07/adobongputirecipe-2.jpg
R004,Sinigang na Baboy,Tagalog,Soup,pork ribs; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,pork ribs; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,Boil pork with onion and tomato until tender. Add radish eggplant and tamarind broth. Simmer vegetables then add kangkong and chili. Season with fish sauce.,20,75,5,480,Medium,sour soup; comfort food,https://images.yummy.ph/yummy/uploads/2019/03/sinigangbaboysamiso-recipe-1.jpg
R005,Sinigang na Hipon,Tagalog,Soup,shrimp; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,shrimp; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,Boil onion and tomato in water. Add radish and eggplant. Add shrimp and tamarind mix then simmer briefly. Finish with kangkong chili and fish sauce.,15,30,4,260,Easy,sour soup; seafood,https://www.iankewks.com/wp-content/uploads/2023/04/IMG_9056.jpg
R009,Bulalo,Batangas,Soup,beef shank; bone marrow; corn; cabbage; pechay; potato; onion; peppercorn; fish sauce,beef shank; bone marrow; corn; cabbage; pechay; potato; onion; peppercorn; fish sauce,Simmer beef shank and marrow with onion and peppercorn until tender. Add corn and potato. Finish with cabbage pechay and fish sauce.,15,150,5,650,Medium,beef soup; marrow,https://cooking.umamidays.com/wp-content/uploads/2025/04/bulalo-soup.jpg
R010,Kare-Kare,Pampanga,Main Dish,oxtail; tripe; peanut butter; ground rice; annatto; eggplant; string beans; banana heart; bagoong,oxtail; tripe; peanut butter; ground rice; annatto; eggplant; string beans; banana heart; bagoong,Boil oxtail and tripe until tender. Make peanut sauce with annatto peanut butter and ground rice. Add vegetables and simmer. Serve with bagoong.,30,150,6,680,Hard,peanut stew; festive,https://www.rivertenkitchen.com/wp-content/uploads/2025/06/easy-kare-kare-recipe-2-480x270.jpg
R011,Bicol Express,Bicol,Main Dish,pork belly; coconut milk; shrimp paste; green chili; red chili; garlic; onion; ginger,pork belly; coconut milk; shrimp paste; green chili; red chili; garlic; onion; ginger,Sauté garlic onion and ginger. Add pork and cook until browned. Add shrimp paste and coconut milk. Simmer until thick then add chilies.,15,50,4,620,Medium,spicy; coconut milk,http://yummykitchentv.com/wp-content/uploads/2023/02/creamy-bicol-express.jpg
R012,Laing,Bicol,Vegetable Dish,dried taro leaves; coconut milk; coconut cream; shrimp paste; chili; garlic; onion; ginger; pork bits,dried taro leaves; coconut milk; coconut cream; shrimp paste; chili; garlic; onion; ginger; pork bits,Sauté aromatics and pork bits. Add coconut milk and shrimp paste. Add dried taro leaves without stirring at first. Simmer until tender and creamy.,15,60,5,420,Medium,spicy; coconut; vegetable,https://www.kawalingpinoy.com/wp-content/uploads/2019/05/laing-9-500x500.jpg
R013,Pinakbet,Ilocos,Vegetable Dish,bitter melon; eggplant; squash; okra; string beans; tomato; onion; shrimp paste; pork belly,bitter melon; eggplant; squash; okra; string beans; tomato; onion; shrimp paste; pork belly,Sauté pork belly onion and tomato. Add shrimp paste and squash. Add remaining vegetables and simmer until tender but not mushy.,20,40,5,300,Easy,vegetable stew; savory,https://www.rivertenkitchen.com/wp-content/uploads/2024/07/pinakbet-recipe-tagalog.jpg
R016,Pancit Canton Guisado,Chinese-Filipino,Noodles,canton noodles; chicken; shrimp; cabbage; carrot; snow peas; soy sauce; oyster sauce; garlic; onion,canton noodles; chicken; shrimp; cabbage; carrot; snow peas; soy sauce; oyster sauce; garlic; onion,Sauté garlic onion chicken and shrimp. Add vegetables and sauce. Add noodles with broth and toss until cooked and coated.,20,35,5,430,Medium,noodles; celebration,https://panlasangpinoy.com/wp-content/uploads/2019/03/pancit-canton-with-shrimp.jpg
R017,Pancit Bihon,Chinese-Filipino,Noodles,rice noodles; chicken; shrimp; cabbage; carrot; green beans; soy sauce; garlic; onion; calamansi,rice noodles; chicken; shrimp; cabbage; carrot; green beans; soy sauce; garlic; onion; calamansi,Sauté meat and aromatics. Add vegetables and broth with soy sauce. Add soaked bihon and toss until liquid is absorbed. Serve with calamansi.,20,35,5,360,Medium,rice noodles; party,https://images.unsplash.com/photo-1585032226651-759b368d7246?w=800&auto=format&fit=crop
R019,Lumpiang Shanghai,Chinese-Filipino,Appetizer,ground pork; carrot; onion; garlic; egg; soy sauce; spring roll wrappers; cooking oil; sweet chili sauce,ground pork; carrot; onion; garlic; egg; soy sauce; spring roll wrappers; cooking oil; sweet chili sauce,Mix pork carrot onion garlic egg and soy sauce. Roll in wrappers tightly. Deep fry until golden and crisp. Serve with sweet chili sauce.,30,45,8,290,Medium,fried; appetizer,https://sweetsimplevegan.com/wp-content/uploads/2020/09/Vegan-Lumpiang-Shanghai-Filipino-Spring-Rolls-Sweet-Simple-Vegan-4.jpg
R021,Chicken Inasal,Bacolod,Main Dish,chicken legs; calamansi; vinegar; lemongrass; garlic; ginger; annatto oil; soy sauce; brown sugar,chicken legs; calamansi; vinegar; lemongrass; garlic; ginger; annatto oil; soy sauce; brown sugar,Marinate chicken in calamansi vinegar lemongrass garlic ginger soy sauce and sugar. Grill while basting with annatto oil until cooked.,240,60,4,430,Medium,grilled; Bacolod,https://onestophalal.com/cdn/shop/articles/chicken_inasal_recipe_1200x.jpg
R027,Chicken Afritada,Tagalog,Main Dish,chicken; potato; carrot; bell pepper; tomato sauce; garlic; onion; bay leaf; green peas,chicken; potato; carrot; bell pepper; tomato sauce; garlic; onion; bay leaf; green peas,Sauté garlic onion and chicken. Add tomato sauce water and bay leaf. Simmer then add potato carrot bell pepper and peas.,20,50,4,390,Easy,tomato stew; chicken,https://panlasangpinoy.com/wp-content/uploads/2024/09/Special-Chicken-Afritada.jpg
R031,Beef Tapa,Tagalog,Breakfast,beef sirloin; soy sauce; calamansi; garlic; sugar; black pepper; cooking oil,beef sirloin; soy sauce; calamansi; garlic; sugar; black pepper; cooking oil,Marinate thin beef with soy sauce calamansi garlic sugar and pepper. Pan-fry until browned. Serve with garlic rice and egg.,240,25,4,360,Easy,breakfast; cured beef,https://www.kawalingpinoy.com/wp-content/uploads/2016/01/filipino-beef-tapa-7-680x680.jpg
