recipe_id,recipe_name,region_or_origin,category,ingredients,normalized_ingredients,instructions,prep_time_minutes,cook_time_minutes,servings,calories_estimate,difficulty,tags
R001,Chicken Adobo,Luzon,Main Dish,chicken thighs; soy sauce; vinegar; garlic; bay leaves; black pepper; water; cooking oil,chicken thighs; soy sauce; vinegar; garlic; bay leaves; black pepper; water; cooking oil,Marinate chicken with soy sauce garlic and pepper. Sear chicken in oil. Add vinegar bay leaves and water then simmer until tender. Reduce sauce and serve with rice.,15,45,4,420,Easy,savory; braised; rice meal
R002,Pork Adobo,Luzon,Main Dish,pork belly; soy sauce; vinegar; garlic; bay leaves; black pepper; water; brown sugar,pork belly; soy sauce; vinegar; garlic; bay leaves; black pepper; water; brown sugar,Marinate pork with soy sauce garlic and pepper. Simmer with vinegar bay leaves and water until tender. Reduce sauce until slightly oily. Serve hot with rice.,15,60,4,520,Easy,savory; braised; classic
R003,Adobong Puti,Luzon,Main Dish,chicken; vinegar; garlic; salt; black pepper; bay leaves; water; cooking oil,chicken; vinegar; garlic; salt; black pepper; bay leaves; water; cooking oil,Sear chicken with garlic. Add vinegar bay leaves salt pepper and water. Simmer uncovered until vinegar mellows and chicken is tender. Reduce sauce before serving.,10,45,4,380,Easy,vinegar-based; no soy sauce
R004,Sinigang na Baboy,Tagalog,Soup,pork ribs; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,pork ribs; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,Boil pork with onion and tomato until tender. Add radish eggplant and tamarind broth. Simmer vegetables then add kangkong and chili. Season with fish sauce.,20,75,5,480,Medium,sour soup; comfort food
R005,Sinigang na Hipon,Tagalog,Soup,shrimp; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,shrimp; tamarind mix; tomato; onion; radish; eggplant; kangkong; green chili; fish sauce,Boil onion and tomato in water. Add radish and eggplant. Add shrimp and tamarind mix then simmer briefly. Finish with kangkong chili and fish sauce.,15,30,4,260,Easy,sour soup; seafood
R006,Sinigang na Bangus,Tagalog,Soup,milkfish; tamarind mix; tomato; onion; radish; okra; kangkong; green chili; fish sauce,milkfish; tamarind mix; tomato; onion; radish; okra; kangkong; green chili; fish sauce,Boil onion and tomato. Add radish okra and tamarind broth. Add milkfish and simmer gently. Add kangkong and season with fish sauce.,15,35,4,310,Easy,sour soup; fish
R007,Tinolang Manok,Tagalog,Soup,chicken; green papaya; malunggay leaves; ginger; garlic; onion; fish sauce; water; cooking oil,chicken; green papaya; malunggay leaves; ginger; garlic; onion; fish sauce; water; cooking oil,Sauté garlic onion and ginger. Add chicken and fish sauce then cook until lightly browned. Pour water and simmer. Add papaya then malunggay before serving.,15,50,4,340,Easy,ginger soup; chicken
R008,Nilagang Baka,Tagalog,Soup,beef shank; cabbage; potato; saba banana; corn; onion; peppercorn; fish sauce; water,beef shank; cabbage; potato; saba banana; corn; onion; peppercorn; fish sauce; water,Boil beef with onion and peppercorn until tender. Add corn potato and saba. Add cabbage near the end. Season with fish sauce.,15,120,5,510,Medium,clear soup; beef
R009,Bulalo,Batangas,Soup,beef shank; bone marrow; corn; cabbage; pechay; potato; onion; peppercorn; fish sauce,beef shank; bone marrow; corn; cabbage; pechay; potato; onion; peppercorn; fish sauce,Simmer beef shank and marrow with onion and peppercorn until tender. Add corn and potato. Finish with cabbage pechay and fish sauce.,15,150,5,650,Medium,beef soup; marrow
R010,Kare-Kare,Pampanga,Main Dish,oxtail; tripe; peanut butter; ground rice; annatto; eggplant; string beans; banana heart; bagoong,oxtail; tripe; peanut butter; ground rice; annatto; eggplant; string beans; banana heart; bagoong,Boil oxtail and tripe until tender. Make peanut sauce with annatto peanut butter and ground rice. Add vegetables and simmer. Serve with bagoong.,30,150,6,680,Hard,peanut stew; festive
R011,Bicol Express,Bicol,Main Dish,pork belly; coconut milk; shrimp paste; green chili; red chili; garlic; onion; ginger,pork belly; coconut milk; shrimp paste; green chili; red chili; garlic; onion; ginger,Sauté garlic onion and ginger. Add pork and cook until browned. Add shrimp paste and coconut milk. Simmer until thick then add chilies.,15,50,4,620,Medium,spicy; coconut milk
R012,Laing,Bicol,Vegetable Dish,dried taro leaves; coconut milk; coconut cream; shrimp paste; chili; garlic; onion; ginger; pork bits,dried taro leaves; coconut milk; coconut cream; shrimp paste; chili; garlic; onion; ginger; pork bits,Sauté aromatics and pork bits. Add coconut milk and shrimp paste. Add dried taro leaves without stirring at first. Simmer until tender and creamy.,15,60,5,420,Medium,spicy; coconut; vegetable
R013,Pinakbet,Ilocos,Vegetable Dish,bitter melon; eggplant; squash; okra; string beans; tomato; onion; shrimp paste; pork belly,bitter melon; eggplant; squash; okra; string beans; tomato; onion; shrimp paste; pork belly,Sauté pork belly onion and tomato. Add shrimp paste and squash. Add remaining vegetables and simmer until tender but not mushy.,20,40,5,300,Easy,vegetable stew; savory
R014,Dinengdeng,Ilocos,Vegetable Dish,malunggay; squash blossoms; string beans; eggplant; saluyot; grilled fish; bagoong isda; ginger,malunggay; squash blossoms; string beans; eggplant; saluyot; grilled fish; bagoong isda; ginger,Boil bagoong broth with ginger. Add vegetables by cooking time. Add grilled fish last and simmer briefly.,20,30,4,240,Easy,vegetable soup; fish
R015,Ginisang Monggo,Tagalog,Main Dish,mung beans; pork; shrimp; malunggay; garlic; onion; tomato; fish sauce; water,mung beans; pork; shrimp; malunggay; garlic; onion; tomato; fish sauce; water,Boil mung beans until soft. Sauté garlic onion tomato and pork. Add cooked mung beans and simmer. Add shrimp and malunggay before serving.,15,60,5,330,Easy,mung beans; hearty
R016,Pancit Canton,Chinese-Filipino,Noodles,canton noodles; chicken; shrimp; cabbage; carrot; snow peas; soy sauce; oyster sauce; garlic; onion,canton noodles; chicken; shrimp; cabbage; carrot; snow peas; soy sauce; oyster sauce; garlic; onion,Sauté garlic onion chicken and shrimp. Add vegetables and sauce. Add noodles with broth and toss until cooked and coated.,20,35,5,430,Medium,noodles; celebration
R017,Pancit Bihon,Chinese-Filipino,Noodles,rice noodles; chicken; shrimp; cabbage; carrot; green beans; soy sauce; garlic; onion; calamansi,rice noodles; chicken; shrimp; cabbage; carrot; green beans; soy sauce; garlic; onion; calamansi,Sauté meat and aromatics. Add vegetables and broth with soy sauce. Add soaked bihon and toss until liquid is absorbed. Serve with calamansi.,20,35,5,360,Medium,rice noodles; party
R018,Pancit Palabok,Luzon,Noodles,rice noodles; shrimp; shrimp broth; annatto; cornstarch; smoked fish flakes; chicharon; egg; green onion,rice noodles; shrimp; shrimp broth; annatto; cornstarch; smoked fish flakes; chicharon; egg; green onion,Cook noodles separately. Make orange shrimp sauce with annatto broth and cornstarch. Pour sauce over noodles and top with egg chicharon and fish flakes.,25,45,5,460,Medium,noodles; shrimp sauce
R019,Lumpiang Shanghai,Chinese-Filipino,Appetizer,ground pork; carrot; onion; garlic; egg; soy sauce; spring roll wrappers; cooking oil; sweet chili sauce,ground pork; carrot; onion; garlic; egg; soy sauce; spring roll wrappers; cooking oil; sweet chili sauce,Mix pork carrot onion garlic egg and soy sauce. Roll in wrappers tightly. Deep fry until golden and crisp. Serve with sweet chili sauce.,30,45,8,290,Medium,fried; appetizer
R020,Fresh Lumpia,Chinese-Filipino,Appetizer,lumpia wrapper; ubod; carrot; cabbage; green beans; garlic; onion; peanut sauce; lettuce,lumpia wrapper; ubod; carrot; cabbage; green beans; garlic; onion; peanut sauce; lettuce,Sauté vegetables until tender. Fill fresh wrapper with lettuce and vegetables. Fold neatly and serve with peanut sauce.,25,40,5,250,Medium,fresh roll; vegetables
R021,Chicken Inasal,Bacolod,Main Dish,chicken legs; calamansi; vinegar; lemongrass; garlic; ginger; annatto oil; soy sauce; brown sugar,chicken legs; calamansi; vinegar; lemongrass; garlic; ginger; annatto oil; soy sauce; brown sugar,Marinate chicken in calamansi vinegar lemongrass garlic ginger soy sauce and sugar. Grill while basting with annatto oil until cooked.,240,60,4,430,Medium,grilled; Bacolod
R022,Pork Sisig,Pampanga,Main Dish,pork belly; pig ears; chicken liver; onion; calamansi; chili; mayonnaise; soy sauce; black pepper,pork belly; pig ears; chicken liver; onion; calamansi; chili; mayonnaise; soy sauce; black pepper,Boil and grill pork parts. Chop finely and sauté with liver onion chili and seasoning. Finish with calamansi and optional mayonnaise.,20,75,4,560,Hard,sizzling; spicy
R023,Bangus Sisig,Pampanga,Main Dish,milkfish; onion; chili; calamansi; mayonnaise; soy sauce; black pepper; butter,milkfish; onion; chili; calamansi; mayonnaise; soy sauce; black pepper; butter,Grill or fry milkfish then flake. Sauté onion and chili in butter. Add fish and seasoning. Finish with calamansi and mayonnaise.,15,35,4,370,Medium,fish; sizzling
R024,Lechon Kawali,Tagalog,Main Dish,pork belly; salt; peppercorn; bay leaves; water; cooking oil; lechon sauce,pork belly; salt; peppercorn; bay leaves; water; cooking oil; lechon sauce,Boil pork belly with salt peppercorn and bay leaves until tender. Dry completely. Deep fry until crisp. Slice and serve with lechon sauce.,20,100,5,780,Medium,crispy pork; fried
R025,Crispy Pata,Tagalog,Main Dish,pork hock; salt; peppercorn; bay leaves; garlic; water; cooking oil; soy vinegar dip,pork hock; salt; peppercorn; bay leaves; garlic; water; cooking oil; soy vinegar dip,Boil pork hock until tender. Dry and chill if possible. Deep fry until skin is crisp. Serve with soy vinegar dip.,20,150,6,820,Hard,crispy; pork hock
R026,Pork Menudo,Tagalog,Main Dish,pork shoulder; liver; potato; carrot; bell pepper; tomato sauce; raisins; garlic; onion; soy sauce,pork shoulder; liver; potato; carrot; bell pepper; tomato sauce; raisins; garlic; onion; soy sauce,Sauté garlic onion and pork. Add soy sauce tomato sauce and simmer. Add potatoes carrots liver bell pepper and raisins until tender.,20,60,5,430,Medium,tomato stew; pork
R027,Chicken Afritada,Tagalog,Main Dish,chicken; potato; carrot; bell pepper; tomato sauce; garlic; onion; bay leaf; green peas,chicken; potato; carrot; bell pepper; tomato sauce; garlic; onion; bay leaf; green peas,Sauté garlic onion and chicken. Add tomato sauce water and bay leaf. Simmer then add potato carrot bell pepper and peas.,20,50,4,390,Easy,tomato stew; chicken
R028,Beef Caldereta,Tagalog,Main Dish,beef; liver spread; tomato sauce; potato; carrot; bell pepper; green olives; chili; cheese,beef; liver spread; tomato sauce; potato; carrot; bell pepper; green olives; chili; cheese,Sauté beef with aromatics. Add tomato sauce and simmer until tender. Add liver spread vegetables olives chili and cheese.,25,120,5,560,Medium,beef stew; rich
R029,Chicken Caldereta,Tagalog,Main Dish,chicken; tomato sauce; liver spread; potato; carrot; bell pepper; green olives; chili; cheese,chicken; tomato sauce; liver spread; potato; carrot; bell pepper; green olives; chili; cheese,Brown chicken with garlic and onion. Add tomato sauce and simmer. Add vegetables liver spread olives chili and cheese.,20,60,4,450,Medium,chicken stew; rich
